,part_no,description_mar,on_hand_mar,total_cost_mar,excess_mar,excess_cost_mar,description_jun,on_hand_jun,total_cost_jun,excess_jun,excess_cost_jun,on_hand_change,total_cost_change,excess_change,excess_cost_change
2359,CT645A/35,DOWEL - 3/32 DIA X 19/32,211.0,,30.0,179.32179,,,,,,-211.0,0.0,-30.0,-179.32179
2360,CT645A/37,DOWEL 3/32 DIA X 1 IN,203.0,,50.0,101.13055,,,,,,-203.0,0.0,-50.0,-101.13055
2393,CT3009/101,,,,,,JOINT RING,26.0,,18.0,835.2,26.0,0.0,18.0,835.2
2398,CT3009/119,JOINT RING,13.0,,4.0,291.476924,JOINT RING,33.0,,14.0,1033.2,20.0,0.0,10.0,741.723076
2400,CT3009/58,COALESCER ELEMENT,5.0,,1.0,0.01,,,,,,-5.0,0.0,-1.0,-0.01
2409,CT450B/21,ROUND JOINT - 50.8MM I/D,52.0,,12.0,56.852304,ROUND JOINT - 50.8MM I/D,52.0,,10.0,47.37692,0.0,0.0,-2.0,-9.475383999999998
2491,CT336F/49,O RING SEAL - 1.5/16 I/D,66.0,,47.0,91.906385,O RING SEAL - 1.5/16 I/D,64.0,,43.0,81.619375,-2.0,0.0,-4.0,-10.287009999999995
2521,TB33052/15,SEALING STRIP,108.0,,91.0,104.077064,SEALING STRIP,107.0,,89.0,100.411936,-1.0,0.0,-2.0,-3.6651279999999957
2555,CT3009/125,JOINT RING,40.0,,5.0,477.0175,,,,,,-40.0,0.0,-5.0,-477.0175
2573,215512010,SELF LOCKING NUT M10,10.0,,3.0,0.75,,,,,,-10.0,0.0,-3.0,-0.75
2577,H245222A,Sealing Strip,349.0,,268.0,508.585744,Sealing Strip,348.0,,266.0,504.604926,-1.0,0.0,-2.0,-3.9808179999999993
2578,H245224A,Sealing Strip,368.0,,14.0,33.46,Sealing Strip,371.0,,20.0,47.8,3.0,0.0,6.0,14.339999999999996
2584,H245223A,Sealing Strip,216.0,,118.0,256.846706,Sealing Strip,214.0,,114.0,250.448424,-2.0,0.0,-4.0,-6.398281999999995
2593,039204,STRAIGHT COUPLING - 3/8 O/D,2.0,,2.0,0.02,,,,,,-2.0,0.0,-2.0,-0.02
2595,030514,O RING SEAL - 1 IN I/D,53.0,,31.0,42.47,O RING SEAL - 1 IN I/D,46.0,,21.0,28.77,-7.0,0.0,-10.0,-13.7
2596,030519,O RING SEAL - 1.5/16 I/D,92.0,,35.0,40.01032,O RING SEAL - 1.5/16 I/D,89.0,,31.0,36.116736,-3.0,0.0,-4.0,-3.893583999999997
2597,030527,O RING SEAL - 2.1/8 I/D,28.0,,6.0,9.3,,,,,,-28.0,0.0,-6.0,-9.3
2613,CT648/1,BALL BEARING - 1/4 I/D,11.0,,10.0,12.6,BALL BEARING - 1/4 I/D,12.0,,12.0,15.12,1.0,0.0,2.0,2.5199999999999996
2625,346321080,GASKET - 3 IN NPS CL150,77.0,,25.0,146.584425,GASKET - 3 IN NPS CL150,71.0,,10.0,58.72254,-6.0,0.0,-15.0,-87.861885
